,date,company_name,action,maya_link,html_link
139,07:29 04/01/2015,אלגומייזר ,מינוי דירקטור בלתי תלוי-יזהר שי,http://maya.tase.co.il/reports/details/941724,http://mayafiles.tase.co.il/RHtm/941001-942000/H941724.htm
140,10:05 02/01/2015,חשמל ,"מינוי נושא משרה-מ""מ סגן מנהל כללי (ייצור ואנרגיה)-פישר שמעון",http://maya.tase.co.il/reports/details/941718,http://mayafiles.tase.co.il/RHtm/941001-942000/H941718.htm
141,19:03 01/01/2015,רציו מימון ,מינוי דירקטור - רוטלוי יאיר,http://maya.tase.co.il/reports/details/941706,http://mayafiles.tase.co.il/RHtm/941001-942000/H941706.htm
142,19:02 01/01/2015,רציו מימון ,מינוי דירקטור - לנדאו יובל,http://maya.tase.co.il/reports/details/941703,http://mayafiles.tase.co.il/RHtm/941001-942000/H941703.htm
143,18:49 01/01/2015,רציו מימון ,"מינוי דח""צ - אוטולנגי פלורנטין תרצה",http://maya.tase.co.il/reports/details/941696,http://mayafiles.tase.co.il/RHtm/941001-942000/H941696.htm
144,18:47 01/01/2015,רציו מימון ,"מינוי דח""צ - טננבאום יעקב",http://maya.tase.co.il/reports/details/941694,http://mayafiles.tase.co.il/RHtm/941001-942000/H941694.htm
145,18:45 01/01/2015,רציו מימון ,מינוי דירקטור בלתי תלוי-טנא יוסף,http://maya.tase.co.il/reports/details/941688,http://mayafiles.tase.co.il/RHtm/941001-942000/H941688.htm
146,18:39 01/01/2015,איתי פיננסים ,"מינוי יו""ר דירקטוריון - פודים יאיר",http://maya.tase.co.il/reports/details/941675,http://mayafiles.tase.co.il/RHtm/941001-942000/H941675.htm
147,17:33 01/01/2015,מזרחי טפחות ,"מינוי נ.משרה-יועמ""ש ראשית,מנהלת חטיבה-פרידמן רחלי",http://maya.tase.co.il/reports/details/941652,http://mayafiles.tase.co.il/RHtm/941001-942000/H941652.htm
148,17:22 01/01/2015,מדיפאואר ,"מינוי דח""צ - טל מיש ורד",http://maya.tase.co.il/reports/details/941651,http://mayafiles.tase.co.il/RHtm/941001-942000/H941651.htm
149,17:18 01/01/2015,מדיפאואר ,"תוצ' אסיפה מיום 1.1.15, אושר מינוי דח""צ",http://maya.tase.co.il/reports/details/941650,http://mayafiles.tase.co.il/RHtm/941001-942000/H941650.htm
150,16:38 01/01/2015,הוט ,"מינוי נושא משרה-משנה לסמנכ""ל כספים וחשבת-דליה ברגמן",http://maya.tase.co.il/reports/details/941642,http://mayafiles.tase.co.il/RHtm/941001-942000/H941642.htm
151,16:09 01/01/2015,חשמל ,"מינוי יצחק בלמס כסמנכל לקוחות חלף יעקב חאין, המשך 1.1.15",http://maya.tase.co.il/reports/details/941608,http://mayafiles.tase.co.il/RHtm/941001-942000/H941608.htm
152,15:56 01/01/2015,אספן גרופ ,מינוי נושא משרה - קנוט הכברט אברהם-תיקון דוח,http://maya.tase.co.il/reports/details/941612,http://mayafiles.tase.co.il/RHtm/941001-942000/H941612.htm
153,15:35 01/01/2015,דירקט קפיטל-ש ,מינוי דירקטור - מיטל ערן - תיקון כמות המניות,http://maya.tase.co.il/reports/details/941589,http://mayafiles.tase.co.il/RHtm/941001-942000/H941589.htm
154,14:32 01/01/2015,וילאר ,"מינוי יו""ר דירקטוריון - דוד מימון",http://maya.tase.co.il/reports/details/941504,http://mayafiles.tase.co.il/RHtm/941001-942000/H941504.htm
155,14:07 01/01/2015,אספן גרופ ,"מינוי סמנכ""ל פיתוח עסקי -קנוט הכברט אברהם-תיקון דוח",http://maya.tase.co.il/reports/details/941482,http://mayafiles.tase.co.il/RHtm/941001-942000/H941482.htm
